,,,freq,level
Record Length,1.02E+03,,0,-43.3897
Sample Interval,2.47E+01,,24.66067,-42.1897
Trigger Point,0.00E+00,,49.32134,-49.3897
,,,73.98201,-66.9897
,,,98.64268,-66.9897
,,,123.30335,-66.9897
Source,MATH,,147.96402,-64.5897
Vertical Units,dB,,172.62468,-64.5897
Vertical Scale,1.00E+01,,197.28535,-64.5897
Vertical Offset,0.00E+00,,221.94602,-66.9897
Horizontal Units,Hz,,246.60669,-66.9897
Horizontal Scale,2.53E+03,,271.26736,-61.3897
Pt Fmt,Y,,295.92803,-64.5897
Yzero,-2.70E+01,,320.5887,-66.9897
Probe Atten,1.00E+01,,345.24937,-66.9897
Firmware Version,FV:v6.08,,369.91004,-64.5897
,,,394.57071,-60.5897
,,,419.23138,-60.5897
,,,443.89205,-58.5897
,,,468.55272,-56.1897
,,,493.21339,-58.5897
,,,517.87406,-64.5897
,,,542.53473,-64.5897
,,,567.1954,-64.5897
,,,591.85607,-66.9897
,,,616.51674,-66.9897
,,,641.17741,-66.9897
,,,665.83808,-66.9897
,,,690.49875,-66.9897
,,,715.15942,-61.3897
,,,739.82009,-64.5897
,,,764.48076,-61.3897
,,,789.14143,-64.5897
,,,813.8021,-52.5897
,,,838.46277,-30.9897
,,,863.12344,-20.9897
,,,887.78411,-19.7897
,,,912.44478,-20.1897
,,,937.10545,-24.1897
,,,961.76612,-43.7897
,,,986.42679,-60.5897
,,,1011.08746,-66.9897
,,,1035.74813,-64.5897
,,,1060.4088,-66.9897
,,,1085.06947,-61.3897
,,,1109.73014,-66.9897
,,,1134.39081,-66.9897
,,,1159.05148,-64.5897
,,,1183.71215,-60.5897
,,,1208.37282,-64.5897
,,,1233.03349,-66.9897
,,,1257.69416,-64.5897
,,,1282.35483,-66.9897
,,,1307.0155,-66.9897
,,,1331.67617,-66.9897
,,,1356.33684,-64.5897
,,,1380.99751,-66.9897
,,,1405.65818,-66.9897
,,,1430.31885,-66.9897
,,,1454.97952,-66.9897
,,,1479.64019,-66.9897
,,,1504.30086,-64.5897
,,,1528.96153,-66.9897
,,,1553.6222,-64.5897
,,,1578.28287,-64.5897
,,,1602.94354,-64.5897
,,,1627.60421,-64.5897
,,,1652.26488,-66.9897
,,,1676.92555,-66.9897
,,,1701.58622,-66.9897
,,,1726.24689,-64.5897
,,,1750.90756,-57.3897
,,,1775.56823,-55.3897
,,,1800.2289,-55.3897
,,,1824.88957,-61.3897
,,,1849.55024,-66.9897
,,,1874.21091,-66.9897
,,,1898.87158,-66.9897
,,,1923.53225,-66.9897
,,,1948.19292,-66.9897
,,,1972.85359,-66.9897
,,,1997.51426,-66.9897
,,,2022.17493,-66.9897
,,,2046.8356,-66.9897
,,,2071.49627,-66.9897
,,,2096.15694,-66.9897
,,,2120.81761,-66.9897
,,,2145.47828,-66.9897
,,,2170.13895,-66.9897
,,,2194.79962,-64.5897
,,,2219.46029,-64.5897
,,,2244.12096,-61.3897
,,,2268.78163,-64.5897
,,,2293.4423,-64.5897
,,,2318.10297,-66.9897
,,,2342.76364,-66.9897
,,,2367.42431,-66.9897
,,,2392.08498,-66.9897
,,,2416.74565,-66.9897
,,,2441.40632,-66.9897
,,,2466.06699,-66.9897
,,,2490.72766,-66.9897
,,,2515.38833,-66.9897
,,,2540.049,-66.9897
,,,2564.70967,-66.9897
,,,2589.37034,-66.9897
,,,2614.03101,-64.5897
,,,2638.69168,-66.9897
,,,2663.35235,-58.5897
,,,2688.01302,-60.5897
,,,2712.67369,-60.5897
,,,2737.33436,-64.5897
,,,2761.99503,-66.9897
,,,2786.6557,-66.9897
,,,2811.31637,-66.9897
,,,2835.97704,-64.5897
,,,2860.63771,-66.9897
,,,2885.29838,-66.9897
,,,2909.95905,-66.9897
,,,2934.61972,-64.5897
,,,2959.28039,-66.9897
,,,2983.94106,-66.9897
,,,3008.60173,-66.9897
,,,3033.2624,-66.9897
,,,3057.92307,-66.9897
,,,3082.58374,-64.5897
,,,3107.24441,-66.9897
,,,3131.90508,-66.9897
,,,3156.56575,-66.9897
,,,3181.22642,-64.5897
,,,3205.88709,-64.5897
,,,3230.54776,-64.5897
,,,3255.20843,-64.5897
,,,3279.8691,-66.9897
,,,3304.52977,-66.9897
,,,3329.19044,-66.9897
,,,3353.85111,-66.9897
,,,3378.51178,-66.9897
,,,3403.17245,-66.9897
,,,3427.83312,-66.9897
,,,3452.49379,-66.9897
,,,3477.15446,-66.9897
,,,3501.81513,-66.9897
,,,3526.4758,-66.9897
,,,3551.13647,-66.9897
,,,3575.79714,-66.9897
,,,3600.45781,-66.9897
,,,3625.11848,-64.5897
,,,3649.77915,-66.9897
,,,3674.43982,-66.9897
,,,3699.10049,-66.9897
,,,3723.76116,-66.9897
,,,3748.42183,-66.9897
,,,3773.0825,-66.9897
,,,3797.74317,-66.9897
,,,3822.40384,-66.9897
,,,3847.06451,-66.9897
,,,3871.72518,-64.5897
,,,3896.38585,-64.5897
,,,3921.04652,-66.9897
,,,3945.70719,-66.9897
,,,3970.36786,-61.3897
,,,3995.02853,-64.5897
,,,4019.6892,-66.9897
,,,4044.34987,-64.5897
,,,4069.01054,-66.9897
,,,4093.67121,-64.5897
,,,4118.33188,-66.9897
,,,4142.99255,-66.9897
,,,4167.65322,-66.9897
,,,4192.31389,-66.9897
,,,4216.97456,-66.9897
,,,4241.63523,-66.9897
,,,4266.2959,-66.9897
,,,4290.95657,-64.5897
,,,4315.61724,-64.5897
,,,4340.27791,-64.5897
,,,4364.93858,-66.9897
,,,4389.59925,-66.9897
,,,4414.25992,-66.9897
,,,4438.92059,-66.9897
,,,4463.58126,-64.5897
,,,4488.24193,-64.5897
,,,4512.9026,-64.5897
,,,4537.56327,-66.9897
,,,4562.22394,-66.9897
,,,4586.88461,-66.9897
,,,4611.54528,-64.5897
,,,4636.20595,-64.5897
,,,4660.86662,-64.5897
,,,4685.52729,-66.9897
,,,4710.18796,-64.5897
,,,4734.84863,-64.5897
,,,4759.5093,-64.5897
,,,4784.16997,-61.3897
,,,4808.83064,-66.9897
,,,4833.49131,-66.9897
,,,4858.15198,-66.9897
,,,4882.81265,-64.5897
,,,4907.47332,-66.9897
,,,4932.13399,-66.9897
,,,4956.79466,-64.5897
,,,4981.45533,-64.5897
,,,5006.116,-64.5897
,,,5030.77667,-60.5897
